module,address,end_address,size,name,source,source_sha256,catalog_status
CARDGAME,0x80084090,0x800840d0,64,CARDGAME_F0x80084090,src/cardgame/cardgame_f0x80084090.c,af084fbcfbfd60712e6ba213643482e80dfad780b502ebba3d042f4e3fca7942,C_MATCHING
CARDGAME,0x80084188,0x8008423c,180,CARDGAME_F0x80084188,src/cardgame/cardgame_f0x80084188.c,429de94055ed36e61a0218caccec1d4bda053e250a2c7a813fefd847679d7615,C_MATCHING
CARDGAME,0x8008423c,0x80084320,228,CARDGAME_F0x8008423c,src/cardgame/cardgame_f0x8008423c.c,a64c6f7d6372e76d897ea671e52c8cc00de3845976e4eb923650d7c88fc403fa,C_MATCHING
CARDGAME,0x80084320,0x80085de8,6856,CARDGAME_F0x80084320,src/cardgame/cardgame_f0x80084320.c,ef6905744c4dc418d4ae0d9738851e06b61dafc82da03ab5beaf881a346e5a92,C_MATCHING
CARDGAME,0x80085de8,0x80085f38,336,CARDGAME_F0x80085de8,src/cardgame/cardgame_f0x80085de8.c,460bd9f20cae7642fbdd1ee4145321b74284f816d5bbcad3cc2c27391674ecec,C_MATCHING
CARDGAME,0x80085f38,0x80085fd0,152,CARDGAME_F0x80085f38,src/cardgame/cardgame_f0x80085f38.c,ec19395f2db5400b3aa46ddb0dd4a19c0b36d5b7cbdbae01abc987cbd3ef5082,C_MATCHING
CARDGAME,0x80085fd0,0x80086090,192,CARDGAME_F0x80085fd0,src/cardgame/cardgame_f0x80085fd0.c,fd8b4bc646d52087ca930d47623db8dfafed44ffcba45bbfd267d979bad1927a,C_MATCHING
CARDGAME,0x800860d4,0x80086330,604,CARDGAME_F0x800860d4,src/cardgame/cardgame_f0x800860d4.c,3bb5d70ad88d049c8ff95fa08380d8a50e6c9e43f6cc4078ea48a2f6328d654b,C_MATCHING
CARDGAME,0x80086330,0x8008642c,252,CARDGAME_F0x80086330,src/cardgame/cardgame_f0x80086330.c,1fd026db45fbb10365bf9c96fd50c802fce04bacbcab768e1e3f660b2a1a7cc4,C_MATCHING
CARDGAME,0x8008642c,0x80086a18,1516,CARDGAME_F0x8008642c,src/cardgame/cardgame_f0x8008642c.c,23c6cada583ed4cb3ad51e9115d0af28439b14a90fdbf804156c56f73673baa4,C_MATCHING
CARDGAME,0x80086a30,0x80086d28,760,CARDGAME_F0x80086a30,src/cardgame/cardgame_f0x80086a30.c,48fdd254f72fcc057dc293582c54222c3c8f28b4d19d2daa014d8f9eae20dbf0,C_MATCHING
CARDGAME,0x80086d28,0x80086d78,80,CARDGAME_F0x80086d28,src/cardgame/cardgame_f0x80086d28.c,ed0b15225b5c6bfd2f9fa31c169728584e17042967f1a104b4a128153447ee0c,C_MATCHING
CARDGAME,0x80086d78,0x80086eb0,312,CARDGAME_F0x80086d78,src/cardgame/cardgame_f0x80086d78.c,b8c162c712e69211cf341abbdf74f250751cd4526ef9febcce26ca83ac6773d9,C_MATCHING
CARDGAME,0x80086eb0,0x80086f24,116,CARDGAME_F0x80086eb0,src/cardgame/cardgame_f0x80086eb0.c,be5a3cd0c98cd5bb38ef5e87b52f351ecf9a7f1a5cbe5f7f3f87654a3ba79437,C_MATCHING
CARDGAME,0x80086f24,0x800870a4,384,CARDGAME_F0x80086f24,src/cardgame/cardgame_f0x80086f24.c,bad17ef515e1d85077273d354a7d216cf14a8aabe728d5f0a55017a9528423a8,C_MATCHING
CARDGAME,0x800870a4,0x8008722c,392,CARDGAME_F0x800870a4,src/cardgame/cardgame_f0x800870a4.c,37149ad12d723441281ab356cb22a7584ebb1409890a7839981c5705541ed288,C_MATCHING
CARDGAME,0x8008722c,0x80087308,220,CARDGAME_F0x8008722c,src/cardgame/cardgame_f0x8008722c.c,050a84681236a96dff0b0b31d108e9d806aa86adbe084927250b4fb677219523,C_MATCHING
CARDGAME,0x8008735c,0x80087458,252,CARDGAME_F0x8008735c,src/cardgame/cardgame_f0x8008735c.c,e32041744e4756e5b3601b7ce2f256256d5217fb379a893a3c8897fdd65c6a38,C_MATCHING
CARDGAME,0x80087458,0x800875ac,340,CARDGAME_F0x80087458,src/cardgame/cardgame_f0x80087458.c,53776ee3b76c227e84ab9188fd24dbe5658289e7a9581fd8ef5af68cb12d2a60,C_MATCHING
